iteration,type,subtype,id,money
20,agent,Middle,G79,4202198.55
20,agent,Low,G80,10398.72
20,agent,Low,G81,10060.00
20,agent,Low,G82,10199.46
20,agent,Low,G83,9799.42
20,agent,Low,G84,10000.00
20,agent,Low,G85,10000.00
20,agent,Low,G86,10000.00
20,agent,Low,G87,10198.00
20,agent,Low,G88,10000.00
20,agent,Low,G89,9799.49
20,agent,Low,G90,9799.46
20,agent,Low,G91,10000.00
20,agent,Low,G92,9993.10
20,agent,Low,G93,9991.40
20,agent,Low,G94,10000.00
20,agent,Low,G95,9799.24
20,agent,Low,G96,10000.00
20,agent,Low,G97,10000.00
20,agent,Low,G98,10199.42
20,agent,Low,G99,10000.00
20,firm,,F0,34013228.29
20,firm,,F1,99901325.87
20,firm,,F2,47010629.32
20,firm,,F3,58982091.84
20,firm,,F4,61863623.24
20,firm,,F5,58000000.00
20,firm,,F6,89024217.67
20,firm,,F7,41012093.77
20,firm,,F8,43023675.00
20,firm,,F9,67950126.35
20,regulator,,R0,1000000000.00
30,agent,High,G0,8918511.19
30,agent,High,G1,12219886.37
30,agent,High,G2,8983985.52
30,agent,High,G3,10489250.32
30,agent,High,G4,12070739.13
30,agent,Middle,G5,5075000.00
30,agent,Middle,G6,5075000.00
30,agent,Middle,G7,4311737.02
30,agent,Middle,G8,5833734.72
30,agent,Middle,G9,5075000.00
30,agent,Middle,G10,4310619.59
30,agent,Middle,G11,5075000.00
30,agent,Middle,G12,5075000.00
30,agent,Middle,G13,5827266.39
30,agent,Middle,G14,5833176.45
30,agent,Middle,G15,4310676.45
30,agent,Middle,G16,5075000.00
30,agent,Middle,G17,5080204.21
30,agent,Middle,G18,5075000.00
30,agent,Middle,G19,5075000.00
30,agent,Middle,G20,4311544.04
30,agent,Middle,G21,4311671.15
30,agent,Middle,G22,5161584.58
30,agent,Middle,G23,4273350.34
30,agent,Middle,G24,5075000.00
30,agent,Middle,G25,4268384.69
30,agent,Middle,G26,5070031.57
30,agent,Middle,G27,5099714.94
30,agent,Middle,G28,4311222.90
30,agent,Middle,G29,5832870.55
30,agent,Middle,G30,5075000.00
30,agent,Middle,G31,5172138.54
30,agent,Middle,G32,5150553.38
30,agent,Middle,G33,5840586.23
30,agent,Middle,G34,5019282.60
30,agent,Middle,G35,5068540.13
30,agent,Middle,G36,5833722.90
30,agent,Middle,G37,5125253.30
30,agent,Middle,G38,5075000.00
30,agent,Middle,G39,5070093.24
30,agent,Middle,G40,5075000.00
30,agent,Middle,G41,4311234.72
30,agent,Middle,G42,5024612.56
30,agent,Middle,G43,4310882.72
30,agent,Middle,G44,5075000.00
30,agent,Middle,G45,5075000.00
30,agent,Middle,G46,5075000.00
30,agent,Middle,G47,5075000.00
30,agent,Middle,G48,5075000.00
30,agent,Middle,G49,5075000.00
30,agent,Middle,G50,5075000.00
30,agent,Middle,G51,4310370.24
30,agent,Middle,G52,5206421.00
30,agent,Middle,G53,5075000.00
30,agent,Middle,G54,4311132.47
30,agent,Middle,G55,5075000.00
30,agent,Middle,G56,4990489.78
30,agent,Middle,G57,5075000.00
30,agent,Middle,G58,5075000.00
30,agent,Middle,G59,4311100.36
30,agent,Middle,G60,4310370.55
30,agent,Middle,G61,6593320.00
30,agent,Middle,G62,7351026.35
30,agent,Middle,G63,5072142.57
30,agent,Middle,G64,5075000.00
30,agent,Middle,G65,5075000.00
30,agent,Middle,G66,5031794.00
30,agent,Middle,G67,4310483.01
30,agent,Middle,G68,5798228.58
30,agent,Middle,G69,4311413.87
30,agent,Middle,G70,5952839.66
30,agent,Middle,G71,5832983.01
30,agent,Middle,G72,5832870.24
30,agent,Middle,G73,5075000.00
30,agent,Middle,G74,5904159.81
30,agent,Middle,G75,5075000.00
30,agent,Middle,G76,5075000.00
30,agent,Middle,G77,5075000.00
30,agent,Middle,G78,5827946.39
30,agent,Middle,G79,4265231.53
30,agent,Low,G80,97137.94
30,agent,Low,G81,96785.52
30,agent,Low,G82,96937.68
30,agent,Low,G83,96535.64
30,agent,Low,G84,96337.84
30,agent,Low,G85,96737.22
30,agent,Low,G86,96737.22
30,agent,Low,G87,62050.65
30,agent,Low,G88,96737.22
30,agent,Low,G89,16081.44
30,agent,Low,G90,96932.24
30,agent,Low,G91,96737.22
30,agent,Low,G92,96730.29
30,agent,Low,G93,96728.58
30,agent,Low,G94,96737.22
30,agent,Low,G95,96535.46
30,agent,Low,G96,96737.22
30,agent,Low,G97,96737.22
30,agent,Low,G98,96937.64
30,agent,Low,G99,96737.22
30,firm,,F0,33995589.52
30,firm,,F1,99957162.87
30,firm,,F2,47017515.58
30,firm,,F3,58830856.84
30,firm,,F4,61948038.44
30,firm,,F5,57794265.78
30,firm,,F6,89013975.66
30,firm,,F7,41049851.77
30,firm,,F8,43045695.52
30,firm,,F9,68134475.75
30,regulator,,R0,998266255.55
40,agent,High,G0,8918511.19
40,agent,High,G1,12219886.37
40,agent,High,G2,8983985.52
40,agent,High,G3,10489250.32
40,agent,High,G4,12070739.13
40,agent,Middle,G5,5075000.00
40,agent,Middle,G6,5075000.00
40,agent,Middle,G7,5082844.59
40,agent,Middle,G8,5833734.72
40,agent,Middle,G9,4311661.86
40,agent,Middle,G10,4310619.59
40,agent,Middle,G11,5075000.00
40,agent,Middle,G12,5075000.00
40,agent,Middle,G13,5827266.39
40,agent,Middle,G14,5833176.45
40,agent,Middle,G15,5060836.42
40,agent,Middle,G16,5833092.56
40,agent,Middle,G17,5101408.51
40,agent,Middle,G18,5075000.00
40,agent,Middle,G19,5075000.00
40,agent,Middle,G20,4311544.04
40,agent,Middle,G21,4311671.15
40,agent,Middle,G22,3761473.34
40,agent,Middle,G23,4273350.34
40,agent,Middle,G24,5075000.00
40,agent,Middle,G25,4268384.69
40,agent,Middle,G26,5071341.07
40,agent,Middle,G27,5099654.94
40,agent,Middle,G28,4311222.90
40,agent,Middle,G29,6699909.92
40,agent,Middle,G30,5075000.00
40,agent,Middle,G31,5172138.54
40,agent,Middle,G32,5108861.98
40,agent,Middle,G33,5840586.23
40,agent,Middle,G34,4263657.79
40,agent,Middle,G35,5068540.13
40,agent,Middle,G36,5833722.90
40,agent,Middle,G37,5125253.30
40,agent,Middle,G38,5075000.00
40,agent,Middle,G39,5829255.10
40,agent,Middle,G40,5075000.00
40,agent,Middle,G41,3662299.85
40,agent,Middle,G42,5084653.56
40,agent,Middle,G43,4310882.72
40,agent,Middle,G44,5075000.00
40,agent,Middle,G45,5075000.00
40,agent,Middle,G46,5075000.00
40,agent,Middle,G47,5073818.80
40,agent,Middle,G48,5075000.00
40,agent,Middle,G49,5075000.00
40,agent,Middle,G50,5075000.00
40,agent,Middle,G51,4310370.24
40,agent,Middle,G52,5123849.00
40,agent,Middle,G53,5075000.00
40,agent,Middle,G54,4311132.47
40,agent,Middle,G55,5729958.30
40,agent,Middle,G56,4990489.78
40,agent,Middle,G57,5075000.00
40,agent,Middle,G58,5075000.00
40,agent,Middle,G59,4311100.36
40,agent,Middle,G60,4310370.55
40,agent,Middle,G61,6593320.00
40,agent,Middle,G62,6245365.06
40,agent,Middle,G63,5072142.57
40,agent,Middle,G64,4310592.56
40,agent,Middle,G65,5075000.00
40,agent,Middle,G66,5031794.00
40,agent,Middle,G67,4310483.01
40,agent,Middle,G68,4925799.37
40,agent,Middle,G69,4309630.77
40,agent,Middle,G70,5952839.66
40,agent,Middle,G71,6477418.56
40,agent,Middle,G72,6932516.85
40,agent,Middle,G73,5044866.00
40,agent,Middle,G74,5896746.91
40,agent,Middle,G75,5075000.00
40,agent,Middle,G76,5075000.00
40,agent,Middle,G77,5075000.00
40,agent,Middle,G78,5827946.39
40,agent,Middle,G79,4265231.53
40,agent,Low,G80,97137.94
40,agent,Low,G81,16131.15
40,agent,Low,G82,94993.38
40,agent,Low,G83,94532.28
40,agent,Low,G84,96337.84
40,agent,Low,G85,96737.22
40,agent,Low,G86,96737.22
40,agent,Low,G87,62050.65
40,agent,Low,G88,96737.22
40,agent,Low,G89,16081.44
40,agent,Low,G90,98865.44
40,agent,Low,G91,96737.22
40,agent,Low,G92,96730.29
40,agent,Low,G93,96728.58
40,agent,Low,G94,96737.22
40,agent,Low,G95,96535.46
40,agent,Low,G96,96737.22
40,agent,Low,G97,97082.22
40,agent,Low,G98,96937.64
40,agent,Low,G99,96737.22
40,firm,,F0,34002179.14
40,firm,,F1,99958945.97
40,firm,,F2,47017606.42
40,firm,,F3,58835356.16
40,firm,,F4,61967156.05
40,firm,,F5,57901501.17
40,firm,,F6,88995448.72
40,firm,,F7,41048542.27
40,firm,,F8,43045695.52
40,firm,,F9,68185505.12
40,regulator,,R0,998266255.55
50,agent,High,G0,9364436.75
50,agent,High,G1,12830880.69
50,agent,High,G2,9433184.80
50,agent,High,G3,11013712.84
50,agent,High,G4,12674276.09
50,agent,Middle,G5,5151125.00
50,agent,Middle,G6,5151125.00
50,agent,Middle,G7,5159087.26
50,agent,Middle,G8,5921240.74
50,agent,Middle,G9,4376336.79
50,agent,Middle,G10,4375278.88
50,agent,Middle,G11,5151125.00
50,agent,Middle,G12,5151125.00
50,agent,Middle,G13,5914675.38
50,agent,Middle,G14,5920674.09
50,agent,Middle,G15,5151991.97
50,agent,Middle,G16,5920588.95
50,agent,Middle,G17,5200242.38
50,agent,Middle,G18,5151125.00
50,agent,Middle,G19,5926589.20
50,agent,Middle,G20,3717035.52
50,agent,Middle,G21,4376346.22
50,agent,Middle,G22,3816418.62
50,agent,Middle,G23,5319358.55
50,agent,Middle,G24,5920695.20
50,agent,Middle,G25,4332410.46
50,agent,Middle,G26,5086321.89
50,agent,Middle,G27,5176149.77
50,agent,Middle,G28,4375891.24
50,agent,Middle,G29,7566072.69
50,agent,Middle,G30,5151125.00
50,agent,Middle,G31,5249720.62
50,agent,Middle,G32,5185494.91
50,agent,Middle,G33,5928195.03
50,agent,Middle,G34,4327612.66
50,agent,Middle,G35,5144568.24
50,agent,Middle,G36,5030608.39
50,agent,Middle,G37,5142265.37
50,agent,Middle,G38,5151125.00
50,agent,Middle,G39,5958689.11
50,agent,Middle,G40,5151125.00
50,agent,Middle,G41,3717234.35
50,agent,Middle,G42,5154829.20
50,agent,Middle,G43,4375545.96
50,agent,Middle,G44,5151125.00
50,agent,Middle,G45,5151125.00
50,agent,Middle,G46,5875846.31
50,agent,Middle,G47,5149926.08
50,agent,Middle,G48,5151125.00
50,agent,Middle,G49,5151125.00
50,agent,Middle,G50,5151125.00
50,agent,Middle,G51,5260774.07
50,agent,Middle,G52,5200706.74
50,agent,Middle,G53,5151125.00
50,agent,Middle,G54,4375799.46
50,agent,Middle,G55,5815907.68
50,agent,Middle,G56,5812020.18
50,agent,Middle,G57,5104178.91
50,agent,Middle,G58,5151125.00
50,agent,Middle,G59,4375766.86
50,agent,Middle,G60,4375026.11
50,agent,Middle,G61,6692219.80
50,agent,Middle,G62,6339045.53
50,agent,Middle,G63,5148224.71
50,agent,Middle,G64,4375251.45
50,agent,Middle,G65,4375357.70
50,agent,Middle,G66,5107270.91
50,agent,Middle,G67,4375140.26
50,agent,Middle,G68,4246453.51
50,agent,Middle,G69,4374275.23
50,agent,Middle,G70,6042132.25
50,agent,Middle,G71,5584113.84
50,agent,Middle,G72,7036504.61
50,agent,Middle,G73,4350041.42
50,agent,Middle,G74,5985198.11
