Time,type,Income-class,id,Net-worth
30,agent,Middle,G45,5075000.0
30,agent,Middle,G46,5001592.97
30,agent,Middle,G47,5075000.0
30,agent,Middle,G48,4309614.12
30,agent,Middle,G49,5031224.27
30,agent,Middle,G50,5099335.44
30,agent,Middle,G51,5075000.0
30,agent,Middle,G52,5075000.0
30,agent,Middle,G53,4951946.02
30,agent,Middle,G54,3659356.7
30,agent,Middle,G55,5831261.45
30,agent,Middle,G56,4308355.3
30,agent,Middle,G57,4308580.69
30,agent,Middle,G58,5075000.0
30,agent,Middle,G59,5831176.8
30,agent,Middle,G60,5123891.0
30,agent,Middle,G61,5075000.0
30,agent,Middle,G62,5022545.82
30,agent,Middle,G63,5075000.0
30,agent,Middle,G64,5075000.0
30,agent,Middle,G65,5075000.0
30,agent,Middle,G66,5075000.0
30,agent,Middle,G67,5944999.87
30,agent,Middle,G68,5075000.0
30,agent,Middle,G69,5898564.35
30,agent,Middle,G70,5065036.79
30,agent,Middle,G71,5836909.1
30,agent,Middle,G72,5075000.0
30,agent,Middle,G73,5075000.0
30,agent,Middle,G74,5307233.69
30,agent,Middle,G75,5066594.65
30,agent,Middle,G76,4354089.47
30,agent,Middle,G77,4309604.03
30,agent,Middle,G78,4278528.84
30,agent,Middle,G79,5832329.69
30,agent,Low,G80,10050.0
30,agent,Low,G81,-80399.96
30,agent,Low,G82,10050.0
30,agent,Low,G83,10042.97
30,agent,Low,G84,10050.0
30,agent,Low,G85,-26454.62
30,agent,Low,G86,10050.0
30,agent,Low,G87,9847.69
30,agent,Low,G88,10050.0
30,agent,Low,G89,10050.0
30,agent,Low,G90,-28350.39
30,agent,Low,G91,10050.0
30,agent,Low,G92,-79556.0
30,agent,Low,G93,10050.0
30,agent,Low,G94,10050.0
30,agent,Low,G95,10050.0
30,agent,Low,G96,10249.65
30,agent,Low,G97,10249.69
30,agent,Low,G98,10050.0
30,agent,Low,G99,10050.0
30,firm,,F0,98074814.97
30,firm,,F1,67994913.53
30,firm,,F2,39012696.0
30,firm,,F3,1046623.79
30,firm,,F4,45010810.67
30,firm,,F5,59185285.17
30,firm,,F6,78954676.49
30,firm,,F7,33160125.35
30,firm,,F8,5044791.49
30,firm,,F9,79870529.65
30,regulator,,R0,1000000000.0
40,agent,High,G0,8914240.2
40,agent,High,G1,10500000.0
40,agent,High,G2,10500000.0
40,agent,High,G3,10500000.0
40,agent,High,G4,12064240.2
40,agent,Middle,G5,5100257.99
40,agent,Middle,G6,5690217.12
40,agent,Middle,G7,5075000.0
40,agent,Middle,G8,4309264.95
40,agent,Middle,G9,3653430.69
40,agent,Middle,G10,5831362.61
40,agent,Middle,G11,4309908.23
40,agent,Middle,G12,5075000.0
40,agent,Middle,G13,6589112.25
40,agent,Middle,G14,4309292.21
40,agent,Middle,G15,4953023.63
40,agent,Middle,G16,5075000.0
40,agent,Middle,G17,5830855.3
40,agent,Middle,G18,5071330.88
40,agent,Middle,G19,5829009.46
40,agent,Middle,G20,5075000.0
40,agent,Middle,G21,4309498.13
40,agent,Middle,G22,5081024.33
40,agent,Middle,G23,5075000.0
40,agent,Middle,G24,4308761.45
40,agent,Middle,G25,4308136.33
40,agent,Middle,G26,5075000.0
40,agent,Middle,G27,5899984.03
40,agent,Middle,G28,5717744.26
40,agent,Middle,G29,4307119.12
40,agent,Middle,G30,5139909.9
40,agent,Middle,G31,5924981.38
40,agent,Middle,G32,5075000.0
40,agent,Middle,G33,5075000.0
40,agent,Middle,G34,4902774.85
40,agent,Middle,G35,4944223.31
40,agent,Middle,G36,5828683.37
40,agent,Middle,G37,5075000.0
40,agent,Middle,G38,5065886.39
40,agent,Middle,G39,4252078.72
40,agent,Middle,G40,5831729.02
40,agent,Middle,G41,5880760.53
40,agent,Middle,G42,4302638.2
40,agent,Middle,G43,4308676.8
40,agent,Middle,G44,4367592.94
40,agent,Middle,G45,5944229.52
40,agent,Middle,G46,5001592.97
40,agent,Middle,G47,5075000.0
40,agent,Middle,G48,5065326.1
40,agent,Middle,G49,5031224.27
40,agent,Middle,G50,5740838.78
40,agent,Middle,G51,5075000.0
40,agent,Middle,G52,5145346.0
40,agent,Middle,G53,5019679.02
40,agent,Middle,G54,3659356.7
40,agent,Middle,G55,5831261.45
40,agent,Middle,G56,4308355.3
40,agent,Middle,G57,4308580.69
40,agent,Middle,G58,4308901.43
40,agent,Middle,G59,5831176.8
40,agent,Middle,G60,5070110.9
40,agent,Middle,G61,5844136.54
40,agent,Middle,G62,4265344.69
40,agent,Middle,G63,5075000.0
40,agent,Middle,G64,5075000.0
40,agent,Middle,G65,5075000.0
40,agent,Middle,G66,5103526.0
40,agent,Middle,G67,5944999.87
40,agent,Middle,G68,5075000.0
40,agent,Middle,G69,6654200.68
40,agent,Middle,G70,5065036.79
40,agent,Middle,G71,5836909.1
40,agent,Middle,G72,4308755.55
40,agent,Middle,G73,5076612.8
40,agent,Middle,G74,5307233.69
40,agent,Middle,G75,5816157.27
40,agent,Middle,G76,4348023.57
40,agent,Middle,G77,4330072.73
40,agent,Middle,G78,4278528.84
40,agent,Middle,G79,5832329.69
40,agent,Low,G80,10050.0
40,agent,Low,G81,-104732.5
40,agent,Low,G82,10050.0
40,agent,Low,G83,10042.97
40,agent,Low,G84,10050.0
40,agent,Low,G85,-26454.62
