run,type,max,min,median,mean,stddev
14,firm,67344338.88233665,24149439.152047902,38032991.28598548,39150445.44546448,15570915.84503528
15,agent,24740311.323987003,2509119.626064844,4225246.554908995,4752014.804610119,3297882.3353617764
15,firm,106426648.96188796,9086656.800269641,22298619.61841459,40816425.72519713,34480187.457231365
16,agent,19798420.683121033,2426978.629026813,4111717.5043893578,4825368.570330713,3058007.5068025715
16,firm,120549736.61782007,17012904.577631142,45222141.9523187,55341436.48132478,33789239.18807251
17,agent,25515363.586376883,2446155.0721137915,4215105.87699022,4803242.655015557,3344507.307775682
17,firm,93066519.43941353,26384262.92795441,60042755.545864195,59382257.06474287,25027325.372785058
18,agent,24661592.52713834,2441195.693032134,4346163.608460155,4850004.178404769,3360709.2834228193
18,firm,71990000.1214667,17904555.71243867,38911958.26362681,40601851.063850306,19314213.31226274
19,agent,23774781.60084569,2437952.480973377,3987538.1348546576,4785390.24880192,3461881.816800741
19,firm,67087709.87969202,11132764.066484489,20994454.78364013,30333840.733678937,18350953.96632082
20,agent,21145900.441048235,2481301.3688590466,4108908.808717354,4791152.604853095,3151848.31789941
20,firm,39658541.9915451,7323405.418544078,16381893.257666115,20955527.540353406,10844774.0090644
21,agent,32398621.405505966,2463961.146821202,4150378.1384881213,4827391.586586734,3662325.3204993093
21,firm,56318418.615040116,9966691.675447157,22231667.14721477,25601028.569328073,14922430.233608609
22,agent,24486909.84145169,2449512.820989838,4348062.500843126,4803298.795378987,3213488.242336159
22,firm,49382905.34846514,8449167.127619516,21746090.40016976,27169133.856789228,15120022.24478835
23,agent,27084657.560973953,2465887.5772726974,4044648.384701246,4836414.966180187,3414480.464611207
23,firm,99336270.10638985,25441328.21590649,42813262.06517684,50854260.39386051,28004157.080008417
24,agent,21895038.83157751,2501387.623785324,4169615.1927060876,4833648.083540549,3177701.5263830675
24,firm,98897982.64344431,8838054.4132863,30076073.227905262,30995128.702038243,22979581.759907275
25,agent,26562163.518735424,2391269.5273166033,4223840.285061436,4723220.256435224,3224298.9946587565
25,firm,89388755.52759328,19120933.063758086,47889075.051428996,48758514.51277854,25281047.77555049
26,agent,25235134.423785806,2497156.887889899,4114761.379738845,4839356.061436298,3478122.574109226
26,firm,69732378.08734457,11179789.637629928,32577890.667010617,38350049.37875417,22172652.58421587
27,agent,23737648.16644188,2478040.1799027985,4185274.4127693083,4754538.167711079,3286494.045335611
27,firm,80175787.15544832,25986683.941926762,62500699.104852706,57656726.73838713,21655702.31017519
28,agent,24709686.733298205,2695072.64557192,4233632.6031678915,4876384.534677894,3269878.159191906
28,firm,66485434.72616287,14061612.016003605,16735134.597404506,25529815.56506741,15623280.611673893
29,agent,28456065.168256696,2610053.4675201625,4106559.9205744453,4802743.812112708,3558812.493666192
29,firm,88544663.88582075,29987632.29256547,46621211.28149343,52668729.41237493,23059671.829600222
30,agent,22281931.673599664,2452853.721299454,4362759.461927885,4825962.676602154,3186494.126454341
30,firm,65529324.085862614,10147547.511352714,19027670.50395012,23568344.536281545,13185272.387013225
31,agent,25972608.14562455,2487764.113764002,4164633.135593487,4831418.07737737,3443118.028916384
31,firm,55184668.38298859,11114112.08938298,16302597.15765782,24323304.26191053,14936111.319202593
32,agent,29682966.03772314,2483248.688497136,4093368.6341913347,4810027.833734132,3412821.7588147745
32,firm,52096405.380211495,12203556.001257565,25753915.435454544,28617507.491789393,13929582.101764766
33,agent,27844146.91431763,2239342.347476487,4147074.9059257386,4764330.689057011,3639754.682510867
33,firm,94873476.24436326,10219481.904157816,20981715.01092228,34861625.206816636,29194340.292611334
34,agent,19138775.315337952,2442807.563147918,4130153.979299781,4815117.726771472,3107796.3486200674
